id;label
Bosquet;gram_16
Cauchie;gram_17
R_Estienne;gram_16
Garnier;gram_16
Matthieu;gram_16
Meigret;gram_16
Palsgrave;gram_16
Pillot;gram_16
Ramus;gram_16
Serreius;gram_16
Sylvius;gram_16
Amyot;aut
Aristote;aut
Auguste;aut
Baâ€¹f;aut
Barclay;aut
Beatus;aut
Bergeron;aut
Bude;aut
Calepin;aut
Cesar;aut
Ciceron;aut
Claude;aut
Corvinus;aut
Des_Autels;aut
Diomede;aut
Dolet;aut
Donat;aut
du_Bellay;aut
Du_Wes;aut
Dubois;aut
H_Estienne;gram_16
Glareanus;aut
Gregoire_T;aut
Grenier;aut
Hesychius;aut
Manuce;aut
Capella;aut
Nebrija;aut
Negro;aut
Nonius;aut
Pasquier;aut
Peletier_M;aut
Perotti;aut
Platon;aut
Plutarque;aut
Priscien;aut
Probus;aut
Quintilien;aut
Riedesell;aut
Servius;aut
Strabon;aut
Suidas;aut
Tacite;aut
Theodore_G;aut
Tory;aut
Valence;aut
Varron;aut
