Id,Label,timeset,category
1,Bosquet,,gram_16
2,Cauchie,,gram_16
3,R_Estienne,,gram_16
4,Garnier,,gram_16
5,Matthieu,,gram_16
6,Meigret,,gram_16
7,Palsgrave,,gram_16
8,Pillot,,gram_16
9,Ramus,,gram_16
10,Serreius,,gram_16
11,Sylvius,,gram_16
12,Amyot,,aut
13,Auguste,,aut
14,Baïf,,aut
15,Barclay,,aut
16,Beatus,,aut
17,Bergeron,,aut
18,Budé,,aut
19,Calepin,,aut
20,César,,aut
21,Cicéron,,aut
22,Claude,,aut
23,Corvinus,,aut
24,Des_Autels,,aut
25,Diomède,,aut
26,Dolet,,aut
27,Donat,,aut
28,du_Bellay,,aut
29,Du_Wes,,aut
30,Érasme,,aut
31,Glareanus,,aut
32,Grégoire_T,,aut
33,Grenier,,aut
34,Hesychius,,aut
35,Manuce,,aut
36,Capella,,aut
37,Nebrija,,aut
38,Negro,,aut
39,Nonius,,aut
40,Pasquier,,aut
41,Peletier_M,,aut
42,Perotti,,aut
43,Platon,,aut
44,Plutarque,,aut
46,Probus,,aut
47,Quintilien,,aut
48,Riedesell,,aut
49,Servius,,aut
50,Strabon,,aut
51,Suidas,,aut
52,Tacite,,aut
53,Théodore_G,,aut
54,Tory,,aut
55,Valence,,aut
56,Varron,,aut
57,GGR,,gram_17
58,Chiflet,,gram_17
60,Irson,,gram_17
62,Maupas,,gram_17
63,Oudin,,gram_17
64,Vairasse,,gram_17
65,Académie,,aut
67,Aristote,,aut
68,d'Andilly,,aut
71,Borel,,aut
74,Caseneuve,,aut
75,Chapelain,,aut
77,Chrysoloras,,aut
81,Desmarets,,aut
83,Dupleix,,aut
84,H_Estienne,,gram_16
86,Isidore,,aut
87,La_Mothe,,aut
89,Laval,,aut
90,Lesclache,,aut
91,Malherbe,,aut
92,Ménage,,aut
93,Mercier,,aut
94,Monet,,aut
95,Naudé,,aut
99,JJ_Scaliger,,aut
100,JC_Scaliger,,aut
102,st_Thomas,,aut
103,Vaugelas,,aut
104,Priscien,,aut
105,R_Garnier,,aut